date;hour;consumption;forecastingD_1;forecastingD
2020-01-01;00:00;67068;68000;65800
2020-01-01;00:30;66103;66600;64800
2020-01-01;01:00;63943;64900;63200
2020-01-01;01:30;63904;65500;63800
2020-01-01;02:00;63408;65400;63300
2020-01-01;02:30;62711;64000;61600
2020-01-01;03:00;60825;62000;59700
2020-01-01;03:30;59332;60500;58300
2020-01-01;04:00;58004;59100;57100
2020-01-01;04:30;57125;58200;56200
2020-01-01;05:00;56432;57700;56000
2020-01-01;05:30;56707;57800;55800
2020-01-01;06:00;56455;57800;55500
2020-01-01;06:30;56894;58000;56200
2020-01-01;07:00;56722;57900;56100
2020-01-01;07:30;56815;58100;56400
2020-01-01;08:00;56967;58100;56600
2020-01-01;08:30;56623;57800;56200
2020-01-01;09:00;56587;57900;56100
2020-01-01;09:30;57222;59000;56800
2020-01-01;10:00;58060;60000;57600
2020-01-01;10:30;58877;61100;58500
2020-01-01;11:00;59617;61900;59300
2020-01-01;11:30;60615;62500;60200
2020-01-01;12:00;61617;63900;62400
2020-01-01;12:30;63039;64700;62200
2020-01-01;13:00;63962;66000;64100
2020-01-01;13:30;62722;63600;62000
2020-01-01;14:00;61452;62000;60800
2020-01-01;14:30;60391;61500;60200
2020-01-01;15:00;59109;59600;58400
2020-01-01;15:30;58602;59000;57900
2020-01-01;16:00;58119;58500;57500
2020-01-01;16:30;58268;58600;57800
2020-01-01;17:00;58903;59500;59000
2020-01-01;17:30;61206;62100;61800
2020-01-01;18:00;63191;64100;64100
2020-01-01;18:30;64325;65200;65400
2020-01-01;19:00;65426;65900;66400
2020-01-01;19:30;65697;66300;67000
2020-01-01;20:00;65067;65500;66100
2020-01-01;20:30;64088;64300;64800
2020-01-01;21:00;63130;63200;63500
2020-01-01;21:30;62056;61500;61700
2020-01-01;22:00;61100;60400;60500
2020-01-01;22:30;61762;61400;61300
2020-01-01;23:00;64159;64000;63700
2020-01-01;23:30;63319;63300;63000
2020-01-02;00:00;63242;63200;62500
2020-01-02;00:30;61548;61500;60500
2020-01-02;01:00;59294;59500;58500
2020-01-02;01:30;58912;60100;59000
2020-01-02;02:00;58485;60000;58600
2020-01-02;02:30;57990;58700;57100
2020-01-02;03:00;56347;57200;55600
2020-01-02;03:30;55479;56400;54700
2020-01-02;04:00;54664;55900;54000
2020-01-02;04:30;54590;55700;53900
2020-01-02;05:00;54851;56400;54600
2020-01-02;05:30;56498;57700;56000
2020-01-02;06:00;57658;59100;57300
2020-01-02;06:30;60006;61500;59600
2020-01-02;07:00;61626;63300;61300
2020-01-02;07:30;63659;65200;63400
2020-01-02;08:00;65486;67000;65300
2020-01-02;08:30;66678;67800;66400
2020-01-02;09:00;67511;68600;67100
2020-01-02;09:30;68650;69500;68400
2020-01-02;10:00;69293;70200;69000
2020-01-02;10:30;69760;70600;69500
2020-01-02;11:00;70055;70800;69900
2020-01-02;11:30;70551;71000;70400
2020-01-02;12:00;71315;72000;71600
2020-01-02;12:30;71799;71700;71200
2020-01-02;13:00;72215;72900;72700
2020-01-02;13:30;70773;70400;70000
2020-01-02;14:00;69849;69500;69100
2020-01-02;14:30;68900;68800;69100
2020-01-02;15:00;67380;67200;66700
2020-01-02;15:30;66645;66400;65800
2020-01-02;16:00;66033;65700;65300
2020-01-02;16:30;65797;65800;65100
2020-01-02;17:00;66100;66800;65600
2020-01-02;17:30;68129;69500;68000
2020-01-02;18:00;69859;71800;69100
2020-01-02;18:30;70922;73100;70100
2020-01-02;19:00;71823;74300;71000
2020-01-02;19:30;71398;73000;70000
2020-01-02;20:00;69893;71100;68300
2020-01-02;20:30;67858;68500;66000
2020-01-02;21:00;66006;66600;64300
2020-01-02;21:30;64435;64500;62500
2020-01-02;22:00;63275;63000;61200
2020-01-02;22:30;63747;63100;61600
2020-01-02;23:00;66115;65000;63700
2020-01-02;23:30;65297;65700;64700
2020-01-03;00:00;65154;64700;63700
2020-01-03;00:30;63115;62700;61600
2020-01-03;01:00;60463;60200;59000
2020-01-03;01:30;60445;60400;59700
2020-01-03;02:00;59731;59900;59300
2020-01-03;02:30;59209;58400;57700
2020-01-03;03:00;57447;56500;55600
2020-01-03;03:30;56350;55300;54800
