date;hour;consumption;forecastingD_1;forecastingD
2021-01-01;00:00;67010;67000;66800
2021-01-01;00:30;67071;66000;65800
2021-01-01;01:00;65052;64300;64000
2021-01-01;01:30;64918;64900;64700
2021-01-01;02:00;64376;64300;64400
2021-01-01;02:30;63758;63100;62500
2021-01-01;03:00;61883;61200;60700
2021-01-01;03:30;60469;60000;59400
2021-01-01;04:00;59103;58600;58200
2021-01-01;04:30;58441;57700;57600
2021-01-01;05:00;57866;57400;57000
2021-01-01;05:30;58382;57500;57600
2021-01-01;06:00;58381;57500;57600
2021-01-01;06:30;59182;57900;58400
2021-01-01;07:00;59346;57900;58600
2021-01-01;07:30;59687;58200;59100
2021-01-01;08:00;60090;58600;59400
2021-01-01;08:30;60102;58600;59500
2021-01-01;09:00;60469;58800;59800
2021-01-01;09:30;61324;59800;60800
2021-01-01;10:00;62385;61200;61700
2021-01-01;10:30;63279;62200;62700
2021-01-01;11:00;64055;63100;63700
2021-01-01;11:30;64977;63900;64200
2021-01-01;12:00;66004;65200;66300
2021-01-01;12:30;67274;65900;66000
2021-01-01;13:00;67987;67500;67800
2021-01-01;13:30;66267;64900;65500
2021-01-01;14:00;64617;63500;63900
2021-01-01;14:30;63456;62600;62700
2021-01-01;15:00;62287;61400;61400
2021-01-01;15:30;61843;61200;61200
2021-01-01;16:00;61426;61000;61000
2021-01-01;16:30;61473;61300;61300
2021-01-01;17:00;62209;62500;62500
2021-01-01;17:30;64692;65100;65100
2021-01-01;18:00;67013;67000;66900
2021-01-01;18:30;68456;68100;68000
2021-01-01;19:00;69683;69400;69300
2021-01-01;19:30;70283;69800;69700
2021-01-01;20:00;70218;69600;69500
2021-01-01;20:30;69340;68700;68600
2021-01-01;21:00;68171;67600;67500
2021-01-01;21:30;66998;66600;66400
2021-01-01;22:00;65956;65600;65400
2021-01-01;22:30;66620;66700;66500
2021-01-01;23:00;68857;69100;68900
2021-01-01;23:30;68068;68300;68200
2021-01-02;00:00;67945;67200;67200
2021-01-02;00:30;66712;65300;65500
2021-01-02;01:00;64523;63300;63800
2021-01-02;01:30;64383;63800;64300
2021-01-02;02:00;64134;63500;64200
2021-01-02;02:30;63831;62500;62900
2021-01-02;03:00;62298;61000;61500
2021-01-02;03:30;61466;60200;60600
2021-01-02;04:00;60564;59700;59900
2021-01-02;04:30;60309;59400;59700
2021-01-02;05:00;60209;59400;59800
2021-01-02;05:30;61221;60500;60700
2021-01-02;06:00;61755;61000;61200
2021-01-02;06:30;62916;62200;62500
2021-01-02;07:00;63690;63300;63200
2021-01-02;07:30;64807;64500;64200
2021-01-02;08:00;65849;66000;65300
2021-01-02;08:30;66930;66700;66400
2021-01-02;09:00;67976;67800;67300
2021-01-02;09:30;69577;69200;69000
2021-01-02;10:00;70909;69800;70400
2021-01-02;10:30;71779;70800;71200
2021-01-02;11:00;72158;71200;71400
2021-01-02;11:30;72608;71500;71800
2021-01-02;12:00;73573;72500;73900
2021-01-02;12:30;74701;72700;73600
2021-01-02;13:00;75352;73800;75600
2021-01-02;13:30;73591;70900;72700
2021-01-02;14:00;71838;69700;71100
2021-01-02;14:30;70601;69100;69800
2021-01-02;15:00;69265;67700;68600
2021-01-02;15:30;68809;67300;68000
2021-01-02;16:00;68031;66900;67200
2021-01-02;16:30;67911;67000;67500
2021-01-02;17:00;68388;68000;68200
2021-01-02;17:30;70414;70800;70200
2021-01-02;18:00;72457;73300;72100
2021-01-02;18:30;73728;74600;73300
2021-01-02;19:00;74926;75700;74500
2021-01-02;19:30;74985;75700;74700
2021-01-02;20:00;74240;74600;73700
2021-01-02;20:30;72624;73200;72500
2021-01-02;21:00;70995;71800;71200
2021-01-02;21:30;69697;70100;69700
2021-01-02;22:00;68349;68700;68400
2021-01-02;22:30;68719;70300;70200
